stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
5549,0523,"„Lelija“","link Vilkpedės",54.66815,25.26369,https://www.stops.lt/vilnius/index.html#stop/0523,,
5550,0524,"„Lelija“","į centrą",54.66823,25.26460,https://www.stops.lt/vilnius/index.html#stop/0524,,
5552,0525,"Smolensko st.","iš stoties",54.66742,25.26005,https://www.stops.lt/vilnius/index.html#stop/0525,,
5553,0526,"Smolensko st.","link stoties",54.66714,25.25911,https://www.stops.lt/vilnius/index.html#stop/0526,,
5579,0507,"Simono Konarskio st.","iš centro",54.67986,25.25964,https://www.stops.lt/vilnius/index.html#stop/0507,,
5580,0506,"Simono Konarskio st.","link centro",54.67947,25.25932,https://www.stops.lt/vilnius/index.html#stop/0506,,
6343,0509,"Vingis","iš centro",54.67719,25.25438,https://www.stops.lt/vilnius/index.html#stop/0509,,
6842,0508,"Vingis","link centro",54.67754,25.25555,https://www.stops.lt/vilnius/index.html#stop/0508,,
3616,0530f,"Stotis","""F"" stotelė",54.67115,25.28328,https://www.stops.lt/vilnius/index.html#stop/0530f,,
4267,0530e,"Stotis","""E"" stotelė",54.67147,25.28327,https://www.stops.lt/vilnius/index.html#stop/0530e,,
7573,0546,"Stotis","",54.67140,25.28300,https://www.stops.lt/vilnius/index.html#stop/0546,,
5266,0504,"Mikalojaus Konstantino Čiurlionio st.","iš centro",54.68082,25.26548,https://www.stops.lt/vilnius/index.html#stop/0504,,
5272,0511,"Taraso Ševčenkos st.","iš centro",54.67694,25.26749,https://www.stops.lt/vilnius/index.html#stop/0511,,
6853,0510,"Taraso Ševčenkos st.","link centro",54.67869,25.26718,https://www.stops.lt/vilnius/index.html#stop/0510,,
5168,0520,"Vienaragių st.","link centro",54.67262,25.26932,https://www.stops.lt/vilnius/index.html#stop/0520,,
7851,0522a,"Vienaragių st.","iš centro",54.67111,25.26955,https://www.stops.lt/vilnius/index.html#stop/0522a,,
683,0505,"Mikalojaus Konstantino Čiurlionio st.","iš centro",54.68160,25.26471,https://www.stops.lt/vilnius/index.html#stop/0505,,
5267,0503,"Mikalojaus Konstantino Čiurlionio st.","link centro",54.68203,25.26526,https://www.stops.lt/vilnius/index.html#stop/0503,,
640,0531,"Amatų st.","link stoties",54.66967,25.26711,https://www.stops.lt/vilnius/index.html#stop/0531,,
6365,0515,"Statybininkų st.","link centro",54.67274,25.25565,https://www.stops.lt/vilnius/index.html#stop/0515,,
8262,0530i,"Stotis","""I"" stotelė",54.67066,25.28313,https://www.stops.lt/vilnius/index.html#stop/0530i,,
8264,0530p,"Stotis","",54.67115,25.28513,https://www.stops.lt/vilnius/index.html#stop/0530p,,
8309,0527,"Burbiškės","link stoties",54.66671,25.25310,https://www.stops.lt/vilnius/index.html#stop/0527,,
9642,0536,"Skroblų st.","link centro",54.66815,25.25570,https://www.stops.lt/vilnius/index.html#stop/0536,,
9701,0535,"Skroblų st.","link Vilkpėdės",54.66983,25.25833,https://www.stops.lt/vilnius/index.html#stop/0535,,
16581,0547,"Stotis","",54.67191,25.28338,https://www.stops.lt/vilnius/index.html#stop/0547,,
5175,1501,"Naujininkai","iš stoties",54.66084,25.27320,https://www.stops.lt/vilnius/index.html#stop/1501,,
5200,1502,"Naujininkai","į centrą",54.66275,25.27418,https://www.stops.lt/vilnius/index.html#stop/1502,,
7414,1517,"Naujininkai","link stoties",54.66192,25.27370,https://www.stops.lt/vilnius/index.html#stop/1517,,
5173,1503,"Prūsų st.","iš stoties",54.66522,25.27280,https://www.stops.lt/vilnius/index.html#stop/1503,,
6854,1504,"Prūsų st.","link stoties",54.66505,25.27316,https://www.stops.lt/vilnius/index.html#stop/1504,,
6012,1505,"Dzūkų st.","iš stoties",54.66528,25.27651,https://www.stops.lt/vilnius/index.html#stop/1505,,
6013,1506,"Dzūkų st.","link stoties",54.66582,25.27595,https://www.stops.lt/vilnius/index.html#stop/1506,,
6017,1510,"Merkinės st.","iš stoties",54.66417,25.28719,https://www.stops.lt/vilnius/index.html#stop/1510,,
6018,1511,"Merkinės st.","link stoties",54.66421,25.28622,https://www.stops.lt/vilnius/index.html#stop/1511,,
6014,1507,"Rudaminos st.","iš stoties",54.66428,25.28024,https://www.stops.lt/vilnius/index.html#stop/1507,,
6015,1508,"Rudaminos st.","link stoties",54.66463,25.27975,https://www.stops.lt/vilnius/index.html#stop/1508,,
6024,2631,"Karaimų kapinės","link stoties",54.65511,25.29743,https://www.stops.lt/vilnius/index.html#stop/2631,,
9738,1520,"Vikingų st.","link Oro uosto",54.65123,25.28203,https://www.stops.lt/vilnius/index.html#stop/1520,,
9750,1521,"Vikingų st.","link stoties",54.65183,25.28255,https://www.stops.lt/vilnius/index.html#stop/1521,,
17003,2654,"Liepynės kapinės","link stoties",54.65412,25.29115,https://www.stops.lt/vilnius/index.html#stop/2654,,
5417,2322,"Alberto Kojelavičiaus st.","link miesto",54.69516,25.39570,https://www.stops.lt/vilnius/index.html#stop/2322,,
7586,2376,"Alberto Kojelavičiaus st.","link Šiaurės g.",54.69511,25.39530,https://www.stops.lt/vilnius/index.html#stop/2376,,
6065,2367,"Bičių st.","link Arimų g.",54.69735,25.42837,https://www.stops.lt/vilnius/index.html#stop/2367,,
6066,2366,"Bičių st.","link Šiaurės g.",54.69768,25.42966,https://www.stops.lt/vilnius/index.html#stop/2366,,
6059,2361,"Gandrų st.","link Arimų g.",54.69516,25.41467,https://www.stops.lt/vilnius/index.html#stop/2361,,
