Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS,
Autobusai,5G,22612861638,4566,25219004,54734909,0,160,998,0,59542,KWNZD,A>B,Saulėtekis,A5G-05-7-240902-ab-1640,
Autobusai,5G,22612871631,4570,25331797,54724714,24,298,991,-19,59549,KWNZD,B>A,Pašilaičiai,A5G-07-7-240902-ba-1630,
Autobusai,5G,22612881606,3006,25222206,54717714,4,24,966,-77,59550,Z,B>A,Pašilaičiai,A5G-08-7-240902-ba-1610,
Autobusai,8,22613151614,4122,25184480,54640234,54,120,974,0,59550,KWNZ,B>A,Žemieji Paneriai,A8-01-7-240902-ab-1650,
Autobusai,12,22613271617,4102,25310596,54611695,33,348,977,17,59548,KWNZ,B>A,Stotis,A12-01-7-240902-ba-1620,
Autobusai,12,22613281624,4101,25302602,54656100,38,188,984,10,59543,KWNZ,A>B,Skaidiškės,A12-02-7-240902-ab-1620,
Autobusai,16,22613341611,939,25298566,54666105,49,348,971,54,59549,Z,B>A,Stotis,A16-01-7-240902-ba-1610,
Autobusai,16,22613351612,4123,25390314,54627965,53,132,972,135,59547,KWNZ,A>B,Skaidiškės,A16-02-7-240902-ab-1610,
Autobusai,18,22613511626,3036,25400105,54693155,33,262,986,-67,59551,KZ,B>A,Antakalnis,A18-02-7-240902-ba-1630,
Autobusai,18,22613521553,967,25317697,54722691,34,2,953,0,59543,Z,B>A,Antakalnis,A18-03-7-240902-ab-1640,
